29,85,78,1002,7,NC
30,85,81,1001,7,NC
29,85,83,1002,7,NC
29,85,81,1002,7,NC
29,84,82,1002,7,NC
29,84,79,1001,7,NC
29,84,80,1002,7,NC
30,84,79,1001,7,NC
30,84,79,1002,7,NC
29,84,81,1003,7,NC
29,84,80,1003,7,NC
29,85,83,1002,7,NC
29,85,82,1002,7,NC
30,85,84,1001,7,NC
30,85,83,1002,7,NC
29,85,84,1002,7,NC
29,85,84,1003,7,NC
29,85,82,1002,7,NC
29,85,84,1003,7,NC
29,85,80,1002,7,NC
29,85,82,1003,7,NC
30,85,79,1002,7,NC
30,85,80,1002,7,NC
29,85,80,1002,7,NC
29,85,80,1002,7,NC
29,85,82,1003,7,NC
29,85,81,1002,7,NC
29,85,84,1001,7,NC
29,85,83,1002,7,NC
29,85,85,1003,7,Jute
29,85,84,1002,7,NC
29,84,84,1001,7,NC
29,84,84,1003,7,NC
29,84,82,1003,7,NC
29,84,83,1003,7,NC
29,84,80,1002,7,NC
29,84,81,1002,7,NC
29,84,80,1002,7,NC
29,84,80,1002,7,NC
29,84,81,1001,7,NC
29,84,79,1003,7,NC
29,84,82,1002,7,NC
29,84,81,1002,7,NC
29,84,84,1001,7,NC
29,84,83,1003,7,NC
29,84,84,1002,7,NC
29,84,84,1002,7,NC
29,84,83,1002,7,NC
29,84,84,1002,7,NC
29,84,82,1002,7,NC
29,84,83,1002,7,NC
29,84,80,1001,7,NC
29,84,82,1003,7,NC
29,84,79,1002,7,NC
29,84,80,1002,7,NC
29,84,79,1002,7,NC
29,84,79,1004,7,NC
29,85,81,1002,7,NC
29,85,80,1003,7,NC
29,85,82,1002,7,NC
29,85,81,1003,7,NC
29,85,84,1001,7,NC
29,85,83,1001,7,NC
29,85,84,1001,7,NC
29,85,84,1003,7,NC
29,85,82,1002,7,NC
29,85,83,1002,7,NC
29,85,81,1002,7,NC
29,85,83,1003,7,NC
29,85,80,1001,7,NC
29,85,81,1002,7,NC
30,85,80,1001,7,NC
30,85,80,1003,7,NC
29,85,81,1002,7,NC
29,85,80,1003,7,NC
29,85,83,1001,7,NC
